osm_id,service_type,name,lat,lon
9111338246,pharmacy,Фрамар,42.530982,27.457209
9129905581,clinic,Медихоуп,42.160159,24.731634
9129905582,pharmacy,Медихоуп фарм,42.160185,24.731668
9136940934,pharmacy,,42.142079,24.799345
9139715776,pharmacy,Vital,42.086669,23.059738
9142599643,pharmacy,Фекона,42.917717,22.927923
9172120971,school,"ОУ ""П. Р. Славейков""",43.211724,27.907666
9172120972,school,"ПМГ ""Акад. Методи Попов""",43.211819,27.907794
9183443395,pharmacy,,42.721101,23.265104
9192305769,pharmacy,Фрамар,42.155714,24.73228
9192305773,kindergarten,Занималня Вера,42.155166,24.735948
9192456486,pharmacy,Ахат,42.122596,24.74801
9195865853,school,,42.105505,24.32994
9197844965,pharmacy,Трахизан,42.921107,22.929038
9201751907,pharmacy,Аптека Калина,42.14088,24.789437
9201751911,pharmacy,B6,42.141463,24.790122
9201821368,kindergarten,Кремена,42.140795,24.792956
9238859768,school,Denis Diderot,42.703186,23.135923
9240314450,pharmacy,,41.931803,25.556377
9241151655,pharmacy,Dara,42.148497,24.729163
9243065860,pharmacy,Life,42.135883,24.789802
9278172280,clinic,,42.542606,25.571019
9278172281,clinic,,42.542604,25.570921
9278172288,pharmacy,Еова,42.541649,25.572905
9280548938,clinic,Д-р Златев,42.159856,24.728681
9280548939,pharmacy,Телесфор-Т,42.159796,24.728689
9331487867,pharmacy,miniSOpharmacy,42.66466,23.296654
9342976437,school,"ОУ ""Никола Вапцаров""",42.620707,25.376918
9342976438,school,"ПГ ""акад. Петко Стайнов""",42.621501,25.376713
9343137708,pharmacy,Марешки,42.152438,24.788581
9350173802,school,ОУ «Св. Св. Кирил и Методий»,43.04637,27.670233
9363597493,pharmacy,SOpharmacy,42.689669,23.302076
9365176445,school,"ОУ ""Драган Манчов""",42.130098,24.705822
9365176446,school,"ОМГ ""Акад. Кирил Попов""",42.129739,24.706253
9384579523,pharmacy,SOpharmacy,42.494408,27.472266
9393193018,pharmacy,Матрикария,43.228526,27.884519
9399119270,pharmacy,Ветфарм Комерс,42.410458,25.591546
9404548920,school,Smarty Kids,42.138743,24.757428
9404548921,school,Smarty Kids,42.124265,24.722409
9404548922,school,Smarty Kids,42.132415,24.795232
9404548927,school,Smarty Kids,42.140583,24.718101
9404548928,school,Smarty Kids,42.160032,24.740422
9419140954,school,"Частна профилирана гимназия ""Антонан дьо Сент-Екзюпери""",43.212544,27.931822
9424609558,pharmacy,Бел Ком Фарма,43.192097,27.70826
9430979807,pharmacy,Витания,42.710583,23.258209
9431108341,clinic,Вита Нова,43.219382,27.927348
9433272333,hospital,Сапфир Лазер България,42.672308,23.275207
9447841220,clinic,Bodimed,42.158772,24.739736
9447852102,clinic,"Очна Клиника ""Луксор""",42.158727,24.739594
9460727335,pharmacy,Герови,43.267545,26.929814
9481761769,pharmacy,Виталити,42.671501,23.290512
9499870767,hospital,IV ДКЦ,43.227831,27.934477
9499870771,hospital,"Психиатрична клиника и стационар към УМБАЛ ""Св. Марина""",43.228995,27.934134
9502991335,hospital,,43.272894,26.926585
9534092303,pharmacy,,42.137751,24.718122
9536841503,pharmacy,НовеФарм,42.67698,23.287115
9540152193,pharmacy,,43.23263,27.873452
9550768217,clinic,д-р Нецов,42.677368,23.306463
9558246544,pharmacy,SOpharmacy,42.166253,24.748981
9559794572,school,"Учебни работилници към ПГ по облекло ""Ана Май""",42.159838,24.738152
9562673943,hospital,Д-р Мария Саздова,42.709573,23.351582
9568203717,clinic,Д-р Симона Пантелеева,42.680727,23.326593
9606109438,school,"СОУ ""Отец Паисий""",42.327944,23.555855
9606109439,school,"Спортно училище ""Никола Велчев""",42.328562,23.556011
9609028081,hospital,МЦ Оксигена,43.18088,27.89605
9612261575,hospital,II ДКЦ Св. Иван Рилски,43.181329,27.895675
9620289384,pharmacy,Ceiba,42.712384,23.315392
9652922189,pharmacy,,43.215345,27.913409
9652922191,hospital,"СБАГАЛ ""Проф. д-р Д. Стаматов""",43.215582,27.914115
9652922202,hospital,СБОБАЛ Варна,43.21659,27.913557
9653212995,hospital,МЦ Пирогов,42.689556,23.307471
9658235281,pharmacy,Феникс,42.89612,25.30895
9664206416,hospital,"V ДКЦ ""Св. Екатерина""",43.208838,27.895334
9664925196,kindergarten,занималня към ОУ «Г. С. Раковски»,43.215694,27.947198
9668273598,pharmacy,SOpharmacy,42.646861,23.393424
9669508687,pharmacy,,42.633763,23.310543
9671557386,hospital,ДКЦ Чайка – Курортна поликлиника,43.212936,27.935315
9679699300,school,ПГ по земеделие «Земя»,43.204268,27.442842
9683382649,pharmacy,,42.702396,23.359492
9689041381,hospital,МЦ ПроваМед,43.177956,27.443933
9689924307,pharmacy,Аптека Йорданова,43.179333,27.444013
9690317243,kindergarten,ДГ Пролет - Ален мак,43.171338,27.444123
9690317472,school,ПГХРТ «Цар Симеон Велики»,43.169792,27.443539
9690704215,kindergarten,Слънце,42.266636,22.706741
9691049665,school,ОУ «Христо Смирненски»,43.169769,27.443164
9694768210,school,"СУ ""Димитър Благоев""",43.177182,27.44173
9699578854,kindergarten,ДГ Снежанка,43.175026,27.438948
9699611822,hospital,ДКЦ Провадия,43.17529,27.437159
9699611855,hospital,ЦСМП Провадия,43.174205,27.437193
9702068678,pharmacy,Лаванда,42.653075,27.704255
9702935888,pharmacy,Амизи,42.147188,24.728035
9702935890,clinic,Bodimed,42.147556,24.730599
9713708496,clinic,Bodimed,42.737084,23.301734
9724588896,pharmacy,Равиа,43.180298,27.444348
9725330139,school,ОУ Христо Ботев,42.467732,24.483732
9738580497,clinic,,42.737811,23.301834
9744129623,school,Професионална Гимназия по телекомуникации,42.655348,23.347853
9745010774,pharmacy,Марешки,42.129788,24.715396
9790751549,hospital,Здравна служба,42.016633,25.295521
9796147478,pharmacy,Аптека ЕОС,42.333872,23.552445
9804940917,clinic,Физиотерапия,42.674161,23.292485
9821188579,pharmacy,SOpharmacy,42.657657,23.31515
9830855217,kindergarten,,42.022649,25.427242
9859124093,pharmacy,Феникс,42.265766,23.117002
9859131168,pharmacy,Аптека Рила 1 ЕООД,42.126463,23.132735
9861256917,school,школа,43.023219,27.876252
9871791041,pharmacy,Нота Бене,42.493205,27.463757
9872610911,clinic,Medical Arts - Медико-Дентален център,42.674965,23.262308
9879114786,clinic,,42.673358,27.71121
9884005167,pharmacy,МиР Фармексперт,42.704473,27.711667
9896130409,pharmacy,,42.259819,23.825833
9904670144,clinic,,42.75186,27.888136
9909366382,pharmacy,Марешки,42.214585,24.017757
