osm_id,service_type,amenity_raw,name,lat,lon,district
4391360389,pharmacy,pharmacy,Амара,42.671309,23.259108,Sofia (Capital)
4392514863,pharmacy,pharmacy,,42.554738,27.643625,Burgas
4392514866,pharmacy,pharmacy,,42.559016,27.645225,Burgas
4394813791,pharmacy,pharmacy,аптека Марешки,42.188251,24.341261,Pazardzhik
4397762693,pharmacy,pharmacy,SOpharmacy,42.68893,23.308252,Sofia (Capital)
4401400589,clinic,doctors,МЦ Мед Консулт,42.496963,27.46405,Burgas
4404521705,pharmacy,pharmacy,,43.224083,27.914188,Varna
4407706237,clinic,doctors,Д-р Нина Тодорова,43.068359,25.61219,Veliko Tarnovo
4416131378,pharmacy,pharmacy,Галения,42.426648,25.641291,Stara Zagora
4420041021,pharmacy,pharmacy,Централ Фарма,42.138277,24.739483,Plovdiv
4420074433,clinic,clinic,Вива Феникс,43.569512,27.827177,Dobrich
4420225391,pharmacy,pharmacy,,42.266518,27.754958,Burgas
4424212690,clinic,clinic,Физио-Мед,42.668325,23.29942,Sofia (Capital)
4424914193,hospital,hospital,партизанска мед. землянка-М.Палаузов,42.830933,25.169028,Gabrovo
4425335099,hospital,hospital,,42.485626,27.379561,Burgas
4434391036,pharmacy,pharmacy,Аптека Марешки,42.120348,24.732929,Plovdiv
4437315190,clinic,clinic,Димитров,42.658675,23.377014,Sofia (Capital)
4441652493,clinic,clinic,,41.64475,24.15931,Smolyan
4441660889,school,school,"ОУ "" Никола Й. Вапцаров""",41.599792,24.180232,Smolyan
4441661992,pharmacy,pharmacy,,41.600172,24.180128,Smolyan
4441702490,pharmacy,pharmacy,,41.645308,24.159806,Smolyan
4442914390,pharmacy,pharmacy,,41.646396,24.159341,Smolyan
4456781189,clinic,doctors,Д-р Пащиева (невролог),43.566979,27.820049,Dobrich
4459295339,pharmacy,pharmacy,Пролет,42.979615,25.476755,Gabrovo
4460488322,clinic,doctors,АПМП-ИП Д-Р МИЛЕН БОБЧЕВ ЕООД,43.78683,26.95143,Silistra
4461502048,clinic,clinic,ДКЦ Филипополис,42.137751,24.73961,Plovdiv
4461502050,pharmacy,pharmacy,Марешки,42.137484,24.744495,Plovdiv
4464621211,pharmacy,pharmacy,,43.408715,28.165224,Dobrich
4464638580,pharmacy,pharmacy,,43.406829,28.163593,Dobrich
4469808768,pharmacy,pharmacy,Сити Фарм,42.139242,24.745481,Plovdiv
4470330193,pharmacy,pharmacy,Агроаптека,42.136913,24.741385,Plovdiv
4472223591,school,school,Незабравка,43.522075,26.52768,Razgrad
4478054578,pharmacy,pharmacy,King pharma,42.689117,23.344514,Sofia (Capital)
4479756887,pharmacy,pharmacy,Роял,42.689385,23.343137,Sofia (Capital)
4484025490,pharmacy,pharmacy,Петя,42.686266,23.349658,Sofia (Capital)
